Symbol,deg_1,deg_2,deg_3,deg_4,deg_5,deg_6,deg_7,deg_8,ndeg,ddeg,idx,degvcount
DOLK,1,0,0,1,1,1,-1,0,5,3,15,1.Unperturbed
DSE,-1,0,0,-1,-1,1,-1,0,5,-3,-15,1.Unperturbed
EFR3A,-1,0,0,-1,-1,1,-1,0,5,-3,-15,1.Unperturbed
EGR1,1,0,0,1,1,1,-1,0,5,3,15,1.Unperturbed
ENOSF1,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
EPB41L3,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
FAM111A,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
FAM47E-STBD1,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
FAXDC2,-1,0,0,-1,-1,1,-1,0,5,-3,-15,1.Unperturbed
FBXL8,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
FBXO40,-1,0,0,-1,-1,1,-1,NA,5,-3,-15,1.Unperturbed
GABPA,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
GET3,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
GIMAP2,-1,-1,0,-1,0,1,-1,0,5,-3,-15,1.Unperturbed
GZMK,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
IDH3A,-1,0,0,-1,-1,1,-1,0,5,-3,-15,1.Unperturbed
IFI6,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
IREB2,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
ISG15,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
ITSN2,-1,0,0,-1,-1,1,-1,0,5,-3,-15,1.Unperturbed
KIAA1328,1,0,0,1,1,-1,1,NA,5,3,15,1.Unperturbed
KLF3,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
KPNA3,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
LAMC3,-1,0,0,-1,-1,1,-1,0,5,-3,-15,1.Unperturbed
LIMS2,-1,0,0,-1,-1,1,-1,0,5,-3,-15,1.Unperturbed
LPAR2,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
LPL,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
LRRFIP2,-1,NA,0,-1,-1,1,-1,0,5,-3,-15,1.Unperturbed
LSMEM2,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
LTF,-1,0,0,-1,-1,1,-1,0,5,-3,-15,1.Unperturbed
MED6,-1,0,0,-1,-1,1,-1,0,5,-3,-15,1.Unperturbed
MGST3,-1,0,0,-1,-1,1,-1,0,5,-3,-15,1.Unperturbed
MILR1,-1,0,0,-1,-1,1,-1,0,5,-3,-15,1.Unperturbed
MPEG1,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
NDUFC2,-1,0,0,-1,-1,1,-1,0,5,-3,-15,1.Unperturbed
NEURL3,-1,0,0,-1,-1,1,-1,0,5,-3,-15,1.Unperturbed
NGRN,-1,-1,0,-1,0,1,-1,0,5,-3,-15,1.Unperturbed
NR3C1,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
