Symbol,deg_1,deg_2,deg_3,deg_4,deg_5,deg_6,deg_7,deg_8,ndeg,ddeg,idx,degvcount
NXPH4,1,0,0,1,0,-1,1,1,5,3,15,1.Unperturbed
PCYOX1L,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
PDS5A,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
PIWIL2,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
PRDX2,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
PROCR,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
PSMA4,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
PTPRM,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
PTRHD1,-1,0,0,-1,-1,1,-1,0,5,-3,-15,0.Down-regulated
PWP1,1,0,0,1,0,-1,1,1,5,3,15,1.Unperturbed
RASSF3,1,0,0,1,0,-1,1,1,5,3,15,1.Unperturbed
RBM22,1,0,0,1,0,-1,1,1,5,3,15,1.Unperturbed
RGPD5,1,0,0,1,0,-1,1,1,5,3,15,1.Unperturbed
RSAD1,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
S100A4,1,0,1,1,0,-1,1,0,5,3,15,1.Unperturbed
SEPTIN6,-1,0,0,-1,0,1,-1,-1,5,-3,-15,0.Down-regulated
SETBP1,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
SHC1,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
SLC35E4,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
SLX4IP,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
SPACA9,-1,0,0,-1,-1,1,-1,0,5,-3,-15,0.Down-regulated
SPTLC3,-1,0,0,-1,0,1,-1,-1,5,-3,-15,0.Down-regulated
STK26,-1,0,0,-1,-1,1,-1,0,5,-3,-15,0.Down-regulated
STK38L,-1,0,0,-1,0,1,-1,-1,5,-3,-15,0.Down-regulated
SV2A,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
TCF12,1,0,0,1,0,-1,1,1,5,3,15,1.Unperturbed
TESPA1,1,0,0,0,1,-1,1,1,5,3,15,1.Unperturbed
THOC1,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
TIPRL,-1,0,0,-1,-1,1,-1,0,5,-3,-15,0.Down-regulated
UGCG,-1,0,0,-1,-1,1,-1,0,5,-3,-15,0.Down-regulated
USP20,1,0,0,1,1,1,-1,0,5,3,15,1.Unperturbed
VPREB3,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
WDR33,-1,0,0,-1,-1,1,-1,0,5,-3,-15,0.Down-regulated
ZNF460,0,0,0,-1,-1,1,-1,-1,5,-3,-15,0.Down-regulated
HLA-DQB2,0,0,1,-1,1,-1,1,1,6,2,12,1.Unperturbed
AATF,-1,0,0,-1,0,0,-1,0,3,-3,-9,1.Unperturbed
ABCA10,1,0,0,1,0,0,1,0,3,3,9,1.Unperturbed
ABCB8,1,0,0,1,0,1,0,0,3,3,9,1.Unperturbed
ABCD1,1,0,0,1,0,1,0,0,3,3,9,1.Unperturbed
ABHD14A,-1,0,0,-1,0,0,-1,0,3,-3,-9,1.Unperturbed
ABHD15,-1,0,0,-1,0,-1,0,0,3,-3,-9,1.Unperturbed
ABT1,-1,0,-1,0,0,0,-1,0,3,-3,-9,1.Unperturbed
ACBD4,1,0,0,1,0,0,1,0,3,3,9,1.Unperturbed
ACRBP,1,0,0,1,0,1,0,0,3,3,9,1.Unperturbed
ACSL5,1,0,0,1,1,NA,0,0,3,3,9,1.Unperturbed
ACSM3,1,0,0,1,0,0,1,0,3,3,9,1.Unperturbed
ADAMTS10,1,0,0,1,1,0,0,0,3,3,9,1.Unperturbed
ADGRV1,1,0,0,1,0,0,1,0,3,3,9,1.Unperturbed
AGGF1,1,0,0,1,0,0,1,0,3,3,9,1.Unperturbed
AGTRAP,0,0,0,1,0,0,1,1,3,3,9,1.Unperturbed
AIMP2,0,0,0,1,1,0,1,0,3,3,9,1.Unperturbed
AKAP6,1,0,0,1,0,0,1,0,3,3,9,1.Unperturbed
AKAP8,-1,0,0,-1,-1,0,0,0,3,-3,-9,1.Unperturbed
ALAS2,-1,0,0,-1,0,-1,0,0,3,-3,-9,1.Unperturbed
ALDH18A1,0,0,1,1,0,0,1,0,3,3,9,1.Unperturbed
ALDH6A1,1,0,0,1,0,0,1,0,3,3,9,1.Unperturbed
ALG3,1,0,0,1,0,1,0,0,3,3,9,1.Unperturbed
AMN1,1,0,0,1,0,1,0,0,3,3,9,1.Unperturbed
ANAPC5,-1,0,0,-1,0,0,-1,0,3,-3,-9,1.Unperturbed
ANKRD16,0,0,0,1,1,0,1,0,3,3,9,1.Unperturbed
